Num,Direction,Elevator,Floor,Garden,Layout,Region,Price,Renovation,Size,Year,UnitPrice
0,南北,无电梯,低楼层(共6层),翠竹苑,3室1厅,浦东,365.0,简装,77.84,1995.0,4.689105858170606
1,南,有电梯,低楼层(共36层),百汇园,3室2厅,徐汇,1449.0,精装,145.2,1995.0,9.979338842975208
2,南北,有电梯,中楼层(共26层),仁恒河滨城(二期),3室2厅,浦东,1630.0,精装,161.94,1995.0,10.065456341855008
3,南,有电梯,高楼层(共30层),财富海景花园,3室2厅,浦东,2000.0,精装,185.0,1995.0,10.81081081081081
4,东,有电梯,中楼层(共26层),仁恒滨江园,3室2厅,浦东,1360.0,精装,130.41,1995.0,10.428648109807531
5,南,有电梯,中楼层(共34层),老西门新苑,3室2厅,黄浦,1366.0,精装,143.08,1995.0,9.547106513838411
6,南,有电梯,中楼层(共13层),浦江茗园,3室2厅,浦东,1180.0,精装,141.25,1995.0,8.353982300884956
7,西南,有电梯,高楼层(共41层),世茂滨江花园,2室2厅,浦东,1450.0,精装,147.39,1995.0,9.837845172671145
8,南,有电梯,中楼层(共11层),中芯花园(公寓),2室2厅,浦东,630.0,精装,101.86,1995.0,6.184959748674651
9,南北,无电梯,低楼层(共6层),金水苑,3室2厅,奉贤,240.0,简装,133.62,1995.0,1.7961383026493039
10,南北,有电梯,中楼层(共31层),上海滩花园,2室2厅,黄浦,1290.0,精装,120.61,1995.0,10.695630544730951
11,南,无电梯,中楼层(共5层),绿野香洲(公寓),3室2厅,闵行,660.0,精装,107.53,1995.0,6.137822003161908
12,南北,无电梯,高楼层(共7层),光复新苑,3室2厅,普陀,540.0,精装,90.52,1995.0,5.965532479010164
13,南,有电梯,高楼层(共16层),上海绿城,3室2厅,浦东,1150.0,精装,134.55,1995.0,8.547008547008547
14,南,有电梯,低楼层(共11层),万科城花新园,3室2厅,闵行,860.0,精装,129.73,1995.0,6.629152855931551
15,南,有电梯,低楼层(共18层),鸿凯湾绿苑,3室2厅,长宁,1090.0,简装,120.76,1995.0,9.026167605167274
